aX,aY,aZ,gX,gY,gZ
0.286,0.832,0.516,32.654,-58.533,32.349
"",,,,,
0.444,0.970,1.212,-41.443,75.745,-37.964
0.418,1.048,1.170,-49.866,56.946,-36.255
0.394,1.091,1.094,-54.993,41.199,-32.227
0.374,1.112,1.015,-55.481,30.457,-26.428
0.352,1.114,0.945,-50.903,24.536,-19.897
0.338,1.100,0.887,-41.443,23.193,-13.245
0.337,1.078,0.856,-29.846,24.658,-6.653
0.352,1.050,0.850,-17.273,27.283,-0.793
0.360,1.014,0.854,-4.944,29.114,4.395
0.369,0.984,0.852,4.456,28.625,9.155
0.375,0.958,0.835,9.827,25.574,13.550
0.395,0.928,0.792,11.597,20.752,17.822
0.420,0.910,0.729,10.742,15.137,22.034
0.445,0.895,0.647,8.606,10.437,26.428
0.449,0.861,0.563,7.751,7.996,30.151
0.448,0.813,0.494,9.583,8.972,33.752
0.445,0.753,0.441,13.123,12.329,36.072
0.459,0.701,0.414,16.602,16.724,37.231
0.510,0.670,0.399,17.883,21.790,37.598
0.531,0.608,0.405,17.639,27.344,37.598
0.535,0.541,0.415,18.250,32.166,35.400
0.542,0.503,0.421,18.921,36.194,30.090
0.550,0.495,0.425,18.311,39.612,23.560
0.567,0.505,0.424,17.456,43.030,16.235
0.578,0.522,0.432,17.090,46.326,9.155
0.613,0.512,0.435,17.883,50.171,2.869
0.619,0.490,0.454,15.198,53.467,-4.395
0.604,0.514,0.494,8.423,54.443,-13.733
0.595,0.543,0.532,3.845,55.054,-22.034
0.600,0.587,0.586,0.854,55.664,-30.273
0.586,0.629,0.641,-1.099,54.749,-38.757
0.562,0.670,0.694,-2.075,51.086,-47.363
0.533,0.722,0.737,-5.249,43.640,-55.786
0.504,0.783,0.759,-11.108,32.959,-62.622
0.484,0.849,0.762,-18.433,19.958,-67.078
0.466,0.911,0.752,-25.879,5.737,-68.726
0.444,0.973,0.729,-33.203,-8.423,-67.444
0.415,1.027,0.699,-39.917,-22.400,-63.965
0.390,1.084,0.649,-43.274,-34.973,-58.411
0.385,1.130,0.594,-44.739,-46.082,-50.598
0.390,1.146,0.522,-44.800,-55.725,-40.771
0.404,1.127,0.432,-44.067,-63.965,-30.090
0.422,1.089,0.335,-45.654,-70.618,-20.142
0.442,1.060,0.255,-48.218,-74.524,-11.292
0.461,1.034,0.182,-47.791,-75.073,-3.845
0.477,0.988,0.136,-44.556,-73.486,2.380
0.501,0.940,0.098,-40.649,-71.167,7.263
0.539,0.894,0.064,-37.903,-68.359,10.803
0.557,0.849,0.044,-35.522,-64.880,13.794
0.564,0.803,0.040,-32.593,-61.401,14.832
0.564,0.761,0.049,-31.738,-58.411,14.404
0.550,0.724,0.052,-33.447,-56.824,13.367
0.539,0.676,0.054,-36.560,-56.641,11.841
0.554,0.613,0.068,-41.565,-57.678,9.949
0.582,0.541,0.090,-49.561,-60.669,6.531
0.600,0.499,0.111,-63.599,-67.444,-0.122
0.590,0.507,0.122,-82.520,-76.904,-8.240
0.578,0.539,0.120,-98.572,-86.853,-16.602
0.579,0.559,0.105,-108.459,-95.459,-23.254
0.582,0.555,0.088,-112.793,-102.600,-28.076
0.603,0.551,0.068,-115.295,-108.704,-32.654
0.608,0.560,0.051,-118.652,-113.342,-36.682
0.608,0.593,0.030,-120.667,-116.943,-40.894
0.613,0.659,-0.005,-123.108,-119.141,-43.762
0.610,0.710,-0.034,-124.695,-118.835,-43.884
0.635,0.706,-0.086,-120.850,-117.126,-41.931
0.660,0.692,-0.130,-121.033,-114.380,-38.147
0.698,0.655,-0.175,-118.713,-110.901,-34.851
0.723,0.636,-0.233,-114.197,-105.347,-32.959
0.717,0.614,-0.284,-101.135,-95.398,-33.691
0.710,0.623,-0.344,-81.909,-84.351,-36.560
0.689,0.693,-0.393,-68.176,-72.632,-38.086
0.685,0.716,-0.440,-48.157,-56.946,-37.292
0.674,0.717,-0.445,-24.597,-38.025,-35.278
0.670,0.751,-0.404,-2.014,-18.433,-33.875
0.649,0.790,-0.353,19.775,-0.732,-33.203
0.635,0.831,-0.290,39.246,15.137,-31.189
0.641,0.839,-0.243,53.467,28.748,-27.283
0.604,0.841,-0.191,65.857,40.588,-23.132
0.596,0.873,-0.147,70.679,50.415,-18.433
0.600,0.904,-0.109,69.153,57.800,-12.085
0.601,0.921,-0.053,67.749,63.904,-4.883
0.644,0.910,-0.004,67.993,69.031,2.075
0.663,0.893,0.029,70.557,72.266,6.897
0.662,0.892,0.051,69.824,73.059,10.559
0.673,0.895,0.049,65.979,72.144,13.672
0.674,0.890,0.030,65.125,72.083,15.930
0.676,0.890,-0.000,66.528,72.571,17.578
0.665,0.910,-0.034,65.613,74.341,18.433
0.652,0.931,-0.054,61.951,77.698,20.447
0.646,0.948,-0.048,58.044,82.458,23.865
0.667,0.963,-0.019,56.091,88.440,28.320
0.689,0.983,0.028,58.350,95.337,33.020
0.707,0.978,0.090,63.965,102.295,39.063
0.727,0.945,0.145,72.144,107.239,45.715
0.751,0.895,0.186,80.139,109.558,51.514
0.771,0.850,0.219,85.266,109.558,56.152
0.782,0.814,0.240,88.135,107.910,59.204
0.783,0.778,0.240,89.417,104.736,60.669
0.782,0.750,0.235,88.745,100.952,61.279
0.779,0.729,0.227,87.280,97.351,60.669
0.776,0.727,0.224,86.609,94.360,59.082
0.762,0.725,0.226,88.318,91.858,57.434
0.745,0.719,0.225,91.614,89.966,56.152
0.733,0.707,0.228,95.215,88.135,54.932
0.723,0.696,0.234,98.633,86.914,53.772
0.716,0.681,0.243,100.281,85.327,52.917
0.712,0.661,0.258,99.731,82.825,51.880
0.702,0.638,0.270,96.863,79.468,50.781
0.715,0.631,0.284,91.187,74.402,49.561
0.717,0.624,0.292,83.801,67.749,47.607
0.700,0.604,0.268,77.332,60.242,44.983
0.678,0.589,0.228,70.374,52.124,42.786
0.662,0.581,0.178,62.012,45.471,40.833
0.648,0.576,0.127,54.016,40.588,39.185
0.630,0.571,0.084,47.546,38.086,37.415
0.610,0.566,0.052,42.175,38.208,35.706
0.596,0.566,0.036,37.598,40.100,33.813
0.586,0.568,0.038,33.325,43.518,31.738
"",,,,,
0.970,0.156,1.904,-186.462,117.065,-76.538
1.019,0.104,2.143,-185.303,81.116,-88.806
1.057,0.100,2.271,-201.782,33.264,-103.638
1.030,0.202,2.269,-226.929,-20.142,-123.169
0.953,0.402,2.152,-230.225,-70.801,-145.752
0.823,0.599,1.969,-203.064,-109.924,-165.894
0.687,0.759,1.732,-162.292,-136.292,-178.650
0.588,0.877,1.503,-126.526,-152.039,-181.335
0.500,0.951,1.298,-99.121,-159.119,-175.842
0.441,0.979,1.117,-76.111,-159.363,-165.405
0.403,0.934,0.980,-55.176,-153.625,-152.405
0.366,0.848,0.873,-39.124,-144.775,-140.259
0.346,0.778,0.795,-33.691,-135.254,-129.395
0.343,0.708,0.773,-39.307,-127.014,-118.103
0.336,0.615,0.772,-49.072,-120.850,-106.384
0.336,0.540,0.798,-61.951,-117.126,-96.436
0.335,0.479,0.816,-73.303,-114.258,-89.172
0.339,0.453,0.860,-81.787,-112.488,-84.351
0.344,0.444,0.908,-85.388,-110.718,-80.505
0.358,0.442,0.929,-86.243,-109.070,-76.904
0.361,0.437,0.939,-82.703,-106.812,-73.181
0.388,0.457,1.045,-75.684,-103.394,-69.519
0.411,0.403,1.110,-62.988,-101.318,-66.040
0.425,0.351,1.172,-57.068,-102.478,-63.049
0.437,0.302,1.189,-57.861,-105.774,-61.035
0.440,0.305,1.140,-68.604,-110.962,-58.838
0.473,0.323,1.134,-80.261,-115.845,-56.396
0.482,0.315,1.134,-79.163,-120.972,-53.528
0.410,0.274,1.097,-75.684,-125.854,-50.598
0.389,0.310,1.031,-77.209,-130.737,-47.852
0.476,0.292,0.936,-82.214,-133.118,-43.518
0.503,0.306,0.846,-98.938,-134.399,-36.560
0.523,0.321,0.771,-107.605,-135.681,-29.724
0.551,0.307,0.688,-102.478,-136.108,-24.475
0.564,0.291,0.614,-90.393,-136.597,-21.851
0.574,0.267,0.552,-71.472,-136.108,-21.729
0.540,0.231,0.484,-52.185,-135.742,-23.254
0.484,0.212,0.414,-34.912,-134.766,-26.917
0.443,0.216,0.344,-22.156,-132.996,-30.823
0.419,0.225,0.271,-14.465,-130.798,-33.752
0.393,0.239,0.203,-8.789,-127.258,-36.621
0.372,0.247,0.149,-5.737,-121.460,-38.696
0.351,0.254,0.112,-6.836,-114.563,-39.734
0.323,0.258,0.093,-10.254,-106.567,-40.283
0.287,0.266,0.088,-14.038,-98.389,-40.405
0.260,0.290,0.094,-18.250,-88.928,-40.466
0.238,0.320,0.105,-19.775,-77.087,-39.612
0.223,0.350,0.117,-15.930,-63.171,-38.330
0.211,0.378,0.139,-7.202,-48.279,-37.048
0.203,0.391,0.171,4.211,-32.654,-35.217
0.199,0.386,0.213,14.893,-16.602,-32.959
0.204,0.379,0.257,21.912,-1.709,-30.640
0.214,0.376,0.294,23.926,11.658,-29.053
0.222,0.378,0.321,20.996,23.193,-28.320
0.225,0.390,0.348,16.235,33.508,-28.442
0.231,0.394,0.375,10.620,43.030,-28.687
0.238,0.406,0.407,3.784,51.636,-28.870
0.251,0.421,0.437,-3.357,60.486,-28.992
0.278,0.441,0.473,-9.033,68.542,-28.931
0.315,0.454,0.502,-11.047,75.317,-28.870
0.345,0.458,0.524,-9.888,80.566,-28.809
0.362,0.461,0.549,-5.920,84.045,-28.564
0.365,0.488,0.563,2.258,84.900,-28.870
0.395,0.492,0.568,13.733,84.717,-28.076
0.439,0.489,0.570,24.231,83.008,-27.527
0.453,0.467,0.565,34.363,81.055,-27.771
0.428,0.468,0.549,36.255,80.261,-28.137
0.406,0.494,0.532,23.987,80.627,-26.917
0.417,0.525,0.518,7.874,82.153,-26.001
0.431,0.560,0.503,-6.348,84.290,-25.330
0.466,0.569,0.497,-14.954,87.341,-24.109
0.505,0.515,0.499,-22.278,90.942,-20.630
0.530,0.465,0.512,-38.757,93.811,-16.052
0.547,0.453,0.548,-60.608,94.299,-12.756
0.573,0.454,0.583,-78.613,92.285,-11.658
0.604,0.475,0.624,-93.262,88.684,-12.024
0.630,0.505,0.646,-100.037,83.923,-14.954
0.650,0.528,0.653,-97.046,79.529,-20.081
0.664,0.538,0.644,-88.867,74.768,-26.306
0.671,0.538,0.624,-79.468,69.885,-32.898
0.672,0.545,0.594,-74.280,64.697,-38.696
0.677,0.560,0.566,-73.120,59.326,-43.213
0.689,0.568,0.536,-75.073,54.443,-46.387
0.706,0.571,0.505,-81.116,50.110,-49.133
0.725,0.585,0.482,-90.088,46.326,-51.941
0.746,0.618,0.461,-100.403,43.396,-55.847
0.768,0.667,0.439,-107.605,41.992,-59.753
0.778,0.724,0.424,-109.131,42.664,-63.843
0.767,0.781,0.430,-104.980,46.265,-67.871
0.760,0.847,0.447,-96.802,52.307,-70.984
0.758,0.916,0.460,-84.778,60.364,-73.242
0.746,0.980,0.489,-69.946,70.801,-74.341
0.727,1.038,0.530,-52.368,82.886,-74.158
0.708,1.086,0.584,-33.997,95.398,-72.449
0.711,1.115,0.647,-17.578,106.323,-68.298
0.719,1.144,0.703,-7.080,114.197,-61.035
0.719,1.147,0.756,0.793,119.507,-52.429
0.725,1.126,0.813,9.033,122.803,-43.457
0.729,1.118,0.860,10.742,121.887,-34.180
0.729,1.115,0.900,8.911,117.310,-24.841
0.725,1.097,0.925,8.484,109.802,-16.235
0.714,1.094,0.920,8.728,100.098,-7.812
0.720,1.025,0.932,9.766,89.966,0.916
0.713,1.036,0.902,2.563,76.782,10.132
0.697,1.020,0.844,-1.404,63.354,20.264
0.682,0.996,0.781,0.671,53.345,30.029
0.671,0.988,0.733,4.272,47.485,39.246
0.667,0.989,0.695,13.428,46.082,47.913
0.650,0.985,0.663,28.625,48.035,56.091
0.641,0.971,0.638,47.791,51.086,63.538
0.638,0.944,0.624,64.941,54.626,71.289
0.630,0.909,0.643,75.439,57.556,80.322
0.636,0.868,0.680,81.360,59.082,90.149
0.645,0.828,0.732,86.426,58.533,99.182
0.643,0.793,0.806,90.881,54.810,106.262
0.607,0.786,0.931,92.773,48.767,111.145
0.599,0.812,1.088,96.558,39.001,114.502
0.634,0.859,1.263,104.248,23.193,119.141
0.685,0.892,1.394,115.173,0.916,126.404
"",,,,,
0.751,0.835,1.286,156.738,-59.631,145.142
0.773,0.779,1.087,179.321,-89.294,151.978
0.753,0.709,0.859,196.228,-111.877,156.738
0.707,0.611,0.636,205.078,-125.000,159.668
0.647,0.493,0.459,202.759,-128.479,160.400
0.580,0.372,0.348,186.035,-123.291,160.034
0.535,0.265,0.309,158.447,-111.389,157.410
0.527,0.205,0.313,129.272,-95.764,152.283
0.519,0.193,0.352,104.553,-78.430,144.897
0.496,0.215,0.413,90.637,-60.791,134.949
0.484,0.237,0.464,89.905,-44.006,123.718
0.485,0.250,0.509,94.543,-30.212,112.549
0.473,0.262,0.552,97.778,-19.958,102.051
0.458,0.275,0.578,99.243,-13.672,92.651
0.438,0.293,0.608,96.741,-11.414,83.984
0.422,0.320,0.646,89.478,-11.597,76.660
0.421,0.360,0.683,78.308,-12.878,71.472
0.420,0.391,0.718,69.580,-15.686,67.871
0.406,0.410,0.745,63.782,-19.531,64.758
0.401,0.415,0.754,60.059,-23.682,61.890
0.399,0.416,0.750,57.495,-26.978,59.021
0.391,0.407,0.740,56.274,-30.029,55.603
0.380,0.386,0.722,56.335,-32.593,51.331
0.375,0.359,0.693,56.335,-34.546,45.898
0.367,0.341,0.652,56.335,-35.889,39.734
0.349,0.334,0.601,56.702,-36.926,32.410
0.328,0.343,0.545,58.899,-37.231,23.865
0.302,0.363,0.484,62.927,-37.354,15.137
0.278,0.395,0.413,67.810,-36.804,7.751
0.257,0.418,0.339,72.693,-35.278,2.197
0.239,0.428,0.259,76.660,-32.654,-1.587
0.219,0.426,0.184,77.148,-28.198,-3.784
0.202,0.417,0.121,73.059,-21.851,-5.127
0.189,0.414,0.077,64.026,-13.367,-5.920
0.186,0.411,0.052,51.086,-3.662,-6.348
0.190,0.400,0.047,35.828,7.385,-6.470
0.198,0.380,0.060,19.653,20.569,-6.836
0.198,0.360,0.096,3.601,35.034,-8.728
0.194,0.364,0.150,-11.719,50.171,-13.245
0.194,0.409,0.212,-25.146,65.186,-20.386
0.204,0.483,0.284,-33.447,79.468,-28.870
0.216,0.564,0.352,-36.560,92.468,-36.621
0.230,0.632,0.414,-36.682,103.821,-41.565
0.242,0.677,0.470,-36.743,113.892,-43.884
0.258,0.703,0.515,-36.316,123.230,-44.556
0.288,0.718,0.561,-36.560,131.348,-44.739
0.333,0.727,0.607,-38.208,137.756,-44.739
0.380,0.725,0.652,-38.818,143.433,-44.556
0.424,0.711,0.718,-38.330,147.095,-45.471
0.456,0.708,0.790,-40.222,148.071,-47.791
0.488,0.714,0.862,-45.410,145.020,-50.964
0.524,0.722,0.917,-52.002,137.573,-54.199
0.559,0.737,0.962,-59.387,126.221,-57.251
0.595,0.730,0.982,-66.162,111.511,-61.279
0.576,0.733,0.995,-69.641,94.788,-66.650
0.559,0.755,0.984,-69.214,76.843,-73.120
0.570,0.759,0.950,-68.726,58.655,-77.393
0.593,0.731,0.896,-71.472,41.260,-79.407
0.585,0.704,0.843,-79.346,25.146,-81.177
0.569,0.697,0.792,-91.003,10.254,-82.581
0.563,0.699,0.734,-102.600,-2.258,-83.679
0.568,0.698,0.668,-112.244,-12.146,-83.984
0.579,0.693,0.595,-120.483,-19.592,-83.008
0.592,0.689,0.525,-128.418,-25.085,-81.421
0.586,0.694,0.464,-135.742,-28.992,-79.407
0.564,0.715,0.408,-140.015,-29.724,-76.477
0.552,0.710,0.367,-140.503,-26.855,-73.181
0.553,0.704,0.336,-142.822,-22.644,-70.374
0.559,0.707,0.314,-145.935,-18.250,-68.359
0.575,0.712,0.301,-146.729,-13.000,-66.833
0.588,0.718,0.294,-145.081,-7.446,-65.735
0.591,0.735,0.290,-140.991,-2.319,-65.308
0.589,0.754,0.287,-133.667,2.686,-65.308
0.582,0.773,0.286,-124.573,7.996,-64.819
0.575,0.791,0.293,-114.807,14.282,-63.477
0.569,0.795,0.304,-105.347,21.423,-60.974
0.568,0.787,0.325,-96.985,29.114,-57.983
0.577,0.773,0.354,-89.172,36.621,-55.542
0.576,0.754,0.394,-85.022,42.725,-53.955
0.568,0.735,0.442,-84.167,47.302,-53.101
0.570,0.731,0.491,-85.022,49.133,-52.551
0.576,0.750,0.531,-86.975,48.218,-52.307
0.574,0.783,0.568,-86.975,45.898,-51.208
0.563,0.823,0.597,-83.191,42.664,-49.744
0.554,0.861,0.610,-75.439,38.513,-47.546
0.556,0.898,0.612,-65.369,33.752,-44.617
0.552,0.937,0.613,-57.129,28.503,-40.771
0.537,0.955,0.615,-51.208,23.315,-36.072
0.536,0.944,0.604,-44.006,17.273,-31.982
0.538,0.948,0.561,-32.593,10.254,-29.480
0.570,0.916,0.483,-22.949,2.441,-24.353
0.595,0.837,0.384,-20.508,-6.104,-17.090
0.602,0.743,0.285,-25.818,-15.076,-10.803
0.607,0.669,0.199,-38.513,-23.315,-7.141
0.602,0.632,0.143,-57.434,-28.931,-7.141
0.581,0.633,0.119,-75.684,-31.128,-9.338
0.554,0.649,0.114,-86.731,-29.053,-12.390
0.533,0.677,0.126,-90.759,-23.987,-15.137
0.521,0.713,0.151,-89.661,-17.395,-17.334
0.513,0.744,0.178,-80.688,-9.521,-18.250
0.513,0.750,0.199,-65.186,-2.014,-18.738
0.516,0.739,0.217,-47.668,5.249,-18.555
0.515,0.718,0.234,-31.677,11.353,-18.372
0.518,0.697,0.248,-18.555,15.869,-18.677
0.532,0.678,0.259,-9.216,18.799,-19.775
0.551,0.662,0.261,-2.991,20.264,-21.667
0.562,0.650,0.262,0.549,20.508,-24.475
0.562,0.649,0.266,0.061,19.775,-28.625
0.554,0.668,0.282,-4.028,19.104,-34.180
0.544,0.712,0.311,-9.094,18.127,-40.833
0.540,0.768,0.339,-11.108,16.907,-47.180
0.543,0.827,0.367,-9.644,14.954,-52.551
0.545,0.875,0.391,-5.859,12.024,-55.237
0.547,0.898,0.406,-1.099,8.301,-55.420
0.549,0.905,0.416,2.991,4.517,-53.223
0.552,0.900,0.424,4.333,0.122,-50.293
0.567,0.893,0.425,4.517,-4.211,-47.119
0.588,0.885,0.421,4.211,-9.155,-43.945
0.603,0.880,0.417,2.197,-13.977,-41.016
"",,,,,
